400191540, 0.105000, 0.998519, 0.966370, 171.924918, 1721.799961, 10000
400175089, 0.105000, 0.999431, 0.946970, 286.696061, 2868.592556, 10000
400186733, 0.105000, 0.999994, 0.931359, 415.714029, 4157.164877, 10000
400191540, 0.105000, 0.999259, 0.956434, 442.140539, 4424.685314, 20000
400175089, 0.105000, 0.999715, 0.944020, 561.473431, 5616.332330, 20000
400186733, 0.105000, 0.999997, 0.952653, 631.924419, 6319.262876, 20000
400191540, 0.105000, 0.999506, 0.960676, 649.667114, 6499.884083, 30000
400175089, 0.105000, 0.999810, 0.951173, 824.521752, 8246.781977, 30000
400186733, 0.105000, 0.999998, 0.947628, 866.763898, 8667.656066, 30000
400191540, 0.105000, 0.999629, 0.956297, 865.408290, 8657.292821, 40000
400175089, 0.105000, 0.999858, 0.952177, 1060.402807, 10605.537084, 40000
400186733, 0.105000, 0.999999, 0.945917, 1134.581721, 11345.833979, 40000
400191540, 0.105000, 0.999703, 0.957616, 1095.168805, 10954.937758, 50000
400175089, 0.105000, 0.999886, 0.949235, 1320.344420, 13204.947339, 50000
400186733, 0.105000, 0.999999, 0.945644, 1419.363091, 14193.647694, 50000
400191540, 0.105000, 0.999852, 0.952680, 2346.500363, 23468.485030, 100000
400175089, 0.105000, 0.999943, 0.951728, 2543.748448, 25438.932437, 100000
400186733, 0.105000, 0.999999, 0.946925, 2855.903160, 28559.048491, 100000
400191540, 0.105000, 0.999926, 0.952295, 4917.207409, 49175.721813, 200000
400175089, 0.105000, 0.999972, 0.953234, 5092.401393, 50925.463284, 200000
400186733, 0.105000, 1.000000, 0.951488, 5401.257036, 54012.586327, 200000
400191540, 0.105000, 0.999970, 0.952062, 12501.066453, 125014.373992, 500000
400175089, 0.105000, 0.999989, 0.951151, 12784.523513, 127846.690580, 500000
400186733, 0.105000, 1.000000, 0.953451, 12556.266002, 125562.674866, 500000
400191540, 0.105000, 0.999985, 0.951382, 25147.845663, 251482.187708, 1000000
400175089, 0.105000, 0.999994, 0.951713, 25595.314099, 255954.597940, 1000000
400186733, 0.105000, 1.000000, 0.952435, 24812.815489, 248128.169565, 1000000
